nom;url;arrival_url
L’Echo de la Lys;https://lechodelalys.nordlittoral.fr/;https://lechodelalys.nordlittoral.fr/
L’Est républicain;https://www.estrepublicain.fr/;https://www.estrepublicain.fr/
Le Républicain lorrain;https://www.republicain-lorrain.fr/;https://www.republicain-lorrain.fr/
DNA;https://www.dna.fr/;https://www.dna.fr/
Vosges Matin;https://www.vosgesmatin.fr/;https://www.vosgesmatin.fr/
L’Alsace;https://www.lalsace.fr/;https://www.lalsace.fr/
Le Bien public;https://www.bienpublic.com/;https://www.bienpublic.com/
Le Journal de Saône-et-Loire;https://www.lejsl.com/;https://www.lejsl.com/
Le Progrès;https://www.leprogres.fr/;https://www.leprogres.fr/
Le Dauphiné libéré;https://www.ledauphine.com/;https://www.ledauphine.com/
Vaucluse Matin;;
Le Journal de la Haute-Marne;https://jhm.fr/;https://jhm.fr/
La Montagne;https://www.lamontagne.fr/;https://www.lamontagne.fr/
Le Populaire du centre;https://www.lepopulaire.fr/;https://www.lepopulaire.fr/
Le Journal du centre;https://www.lejdc.fr/;https://www.lejdc.fr/
Le Berry républicain;https://www.leberry.fr/;https://www.leberry.fr/
L’Yonne Républicaine;https://www.lyonne.fr/;https://www.lyonne.fr/
L’Echo Républicain;https://www.lechorepublicain.fr/;https://www.lechorepublicain.fr/
Courrier du Loiret;;
L’Eclaireur du Gâtinais;;
Régional de Cosne;;
L’Echo Charitois;;
Pays Roannais;;
La Liberté;https://www.laliberte.ch/;https://www.laliberte.ch/
Journal de Gien;;
La République du Centre;https://www.larep.fr/;https://www.larep.fr/
Nouvelle République du Centre;https://www.lanouvellerepublique.fr/;https://www.lanouvellerepublique.fr/
Centre Presse;https://www.centre-presse.fr/;https://www.centre-presse.fr/
TV Tours;https://www.tvtours.fr/;https://www.tvtours.fr/
La Dépêche du midi;https://www.ladepeche.fr/;https://www.ladepeche.fr/
Le Petit Bleu;https://www.petitbleu.fr/;https://www.petitbleu.fr/
La Nouvelle République des Pyrénées;https://www.nrpyrenees.fr/;https://www.nrpyrenees.fr/
Le Villefranchois;;
La Gazette du Comminges;;
Midi libre;https://www.midilibre.fr/;https://www.midilibre.fr/
L’Indépendant;https://www.lindependant.fr/;https://www.lindependant.fr/
Centre Presse Aveyron;https://www.centrepresseaveyron.fr/;https://www.centrepresseaveyron.fr/
Sud Ouest;https://www.sudouest.fr/;https://www.sudouest.fr/
Charente Libre;https://www.charentelibre.fr/;https://www.charentelibre.fr/
Dordogne Libre;https://www.dordognelibre.fr/;https://www.dordognelibre.fr/
Haute Saintonge;https://www.hautesaintonge.fr/;https://www.hautesaintonge.fr/
Haute Gironde;https://www.hautegironde.fr/;https://www.hautegironde.fr/
Le Résistant;https://www.leresistant.fr/;https://www.leresistant.fr/
L’Hebdo de Charente-Maritime;https://lhebdo17.fr/;https://lhebdo17.fr/
La Dépêche du Bassin;https://www.ladepechedubassin.fr/;https://www.ladepechedubassin.fr/
Le Journal du Médoc;https://www.lejournaldumedoc.fr/;https://www.lejournaldumedoc.fr/
La République des Pyrénées;https://www.larepubliquedespyrenees.fr/;https://www.larepubliquedespyrenees.fr/
L’Eclair;;
Le Télégramme;https://www.letelegramme.fr/;https://www.letelegramme.fr/
Le Poher;https://www.lepoher.fr/;https://www.lepoher.fr/
Tébéo;https://www.tebeo.bzh/;https://www.tebeo.bzh/
Tébésud;https://www.tebesud.bzh/;https://www.tebesud.bzh/
Le Mensuel de Rennes;https://www.lemensuel.com/;https://www.lemensuel.com/rennes
Sept Jours à Brest;;
Le Journal des entreprises;https://www.lejournaldesentreprises.com/;https://www.lejournaldesentreprises.com/
Bretagne magazine;https://www.bretagne.com/;https://www.bretagne.com/fr/bretagne-magazine
Nice-Matin;https://www.nicematin.com/;https://www.nicematin.com/
Corse Matin;https://www.corsematin.com/;https://www.corsematin.com/
La Provence;https://www.laprovence.com/;https://www.laprovence.com/
Paris-Normandie;https://www.paris-normandie.fr/;https://www.paris-normandie.fr/
Havre Libre;;
Le Progrès de Fécamp;;
Liberté Dimanche;;
Havre Dimanche;;
Normandie Dimanche;;
La Côte (Nyon);https://www.lacote.ch/;https://www.lacote.ch/
L’Express (Neuchâtel);;
L’Impartial (La Chaux-de-Fonds);;
